"tweet_id","topic_id","probability","assigned_at"
"1344803785600851969","7","0.0","2026-05-04T10:24:25.877157+00:00"
"1344803787911868422","-1","0.0","2026-05-04T10:24:25.877157+00:00"
"1344826822199009280","16","0.0","2026-05-04T10:24:25.877157+00:00"
"1344841555450978304","202","0.0","2026-05-04T10:24:25.877157+00:00"
"1344843367453233152","206","0.0","2026-05-04T10:24:25.877157+00:00"
"1344844320399110144","33","0.0","2026-05-04T10:24:25.877157+00:00"
"1344845629806280709","33","0.0","2026-05-04T10:24:25.877157+00:00"
"1344847229866151937","12","0.0","2026-05-04T10:24:25.877157+00:00"
"1344847961017245705","206","0.0","2026-05-04T10:24:25.877157+00:00"
"1344851383963574272","12","0.0","2026-05-04T10:24:25.877157+00:00"
"1344860954874552321","3","0.0","2026-05-04T10:24:25.877157+00:00"
"1344861327110660097","206","0.0","2026-05-04T10:24:25.877157+00:00"
"1344863662046109702","65","0.0","2026-05-04T10:24:25.877157+00:00"
"1344880165692841984","53","0.0","2026-05-04T10:24:25.877157+00:00"
"1344881886141804547","16","0.0","2026-05-04T10:24:25.877157+00:00"
"1344888176545046528","22","0.0","2026-05-04T10:24:25.877157+00:00"
"1344891300777254912","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1344893787634601986","19","0.0","2026-05-04T10:24:25.877157+00:00"
"1344906239344603137","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1344908224399630336","15","0.0","2026-05-04T10:24:25.877157+00:00"
"1344910824247353344","-1","0.0","2026-05-04T10:24:25.877157+00:00"
"1344911065990225920","-1","0.0","2026-05-04T10:24:25.877157+00:00"
"1344911423307177985","30","0.0","2026-05-04T10:24:25.877157+00:00"
"1344916308027179008","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1344920049757392898","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1344934094644371456","50","0.0","2026-05-04T10:24:25.877157+00:00"
"1344944303190253568","213","0.0","2026-05-04T10:24:25.877157+00:00"
"1344948905738432513","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1344955886234726403","1","0.0","2026-05-04T10:24:25.877157+00:00"
"1344960384382488576","3","0.0","2026-05-04T10:24:25.877157+00:00"
"1344964151794393088","141","0.0","2026-05-04T10:24:25.877157+00:00"
"1344970588700475394","22","0.0","2026-05-04T10:24:25.877157+00:00"
"1344977111719800833","19","0.0","2026-05-04T10:24:25.877157+00:00"
"1345009644163493889","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1345019077266436097","130","0.0","2026-05-04T10:24:25.877157+00:00"
"1345019200616755201","79","0.0","2026-05-04T10:24:25.877157+00:00"
"1345019505546850308","13","0.0","2026-05-04T10:24:25.877157+00:00"
"1345023423618162688","12","0.0","2026-05-04T10:24:25.877157+00:00"
"1345023873687953408","12","0.0","2026-05-04T10:24:25.877157+00:00"
"1345032511819284486","13","0.0","2026-05-04T10:24:25.877157+00:00"
"1345038205763145728","53","0.0","2026-05-04T10:24:25.877157+00:00"
"1345043489587929089","1","0.0","2026-05-04T10:24:25.877157+00:00"
"1345044182864441344","213","0.0","2026-05-04T10:24:25.877157+00:00"
"1345045399019642881","194","0.0","2026-05-04T10:24:25.877157+00:00"
"1345052471295664130","78","0.0","2026-05-04T10:24:25.877157+00:00"
"1345055777610989571","67","0.0","2026-05-04T10:24:25.877157+00:00"
"1345056143706628096","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1345056411068325888","67","0.0","2026-05-04T10:24:25.877157+00:00"
"1345063940125040642","199","0.0","2026-05-04T10:24:25.877157+00:00"
"1345066064087048194","67","0.0","2026-05-04T10:24:25.877157+00:00"
"1345067837434568705","174","0.0","2026-05-04T10:24:25.877157+00:00"
"1345080934924578816","40","0.0","2026-05-04T10:24:25.877157+00:00"
"1345081117594906626","0","0.0","2026-05-04T10:24:25.877157+00:00"
"1345085895167381505","49","0.0","2026-05-04T10:24:25.877157+00:00"
"1345092621669117953","110","0.0","2026-05-04T10:24:25.877157+00:00"
"1345097210606792707","5","0.0","2026-05-04T10:24:25.877157+00:00"
"1345106452428582913","25","0.0","2026-05-04T10:24:25.877157+00:00"
"1345110009886224387","14","0.0","2026-05-04T10:24:25.877157+00:00"
"1345113965194575872","14","0.0","2026-05-04T10:24:25.877157+00:00"
"1345117962269765632","26","0.0","2026-05-04T10:24:25.877157+00:00"
"1345138540569620480","121","0.0","2026-05-04T10:24:25.877157+00:00"
"1345143873031589899","188","0.0","2026-05-04T10:24:25.877157+00:00"
"1345183222565629960","55","0.0","2026-05-04T10:24:25.877157+00:00"
"1345185268572286979","16","0.0","2026-05-04T10:24:25.877157+00:00"
"1345189441057546242","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1345202197357879300","174","0.0","2026-05-04T10:24:25.877157+00:00"
"1345211934170357762","19","0.0","2026-05-04T10:24:25.877157+00:00"
"1345214492511232000","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1345222910970101761","16","0.0","2026-05-04T10:24:25.877157+00:00"
"1345240019523538945","1","0.0","2026-05-04T10:24:25.877157+00:00"
"1345249909683990528","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1345255124076273665","95","0.0","2026-05-04T10:24:25.877157+00:00"
"1345256307645935616","22","0.0","2026-05-04T10:24:25.877157+00:00"
"1345265334144688128","84","0.0","2026-05-04T10:24:25.877157+00:00"
"1345265839835127808","168","0.0","2026-05-04T10:24:25.877157+00:00"
"1345266759054602241","84","0.0","2026-05-04T10:24:25.877157+00:00"
"1345267941391085569","206","0.0","2026-05-04T10:24:25.877157+00:00"
"1345270424981172224","72","0.0","2026-05-04T10:24:25.877157+00:00"
"1345270970530066433","20","0.0","2026-05-04T10:24:25.877157+00:00"
"1345280009460723712","8","0.0","2026-05-04T10:24:25.877157+00:00"
"1345280439074902017","12","0.0","2026-05-04T10:24:25.877157+00:00"
"1345280776762494977","1","0.0","2026-05-04T10:24:25.877157+00:00"
"1345287736840892416","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1345288882166837249","28","0.0","2026-05-04T10:24:25.877157+00:00"
"1345289047846088705","-1","0.0","2026-05-04T10:24:25.877157+00:00"
"1345289551061856258","28","0.0","2026-05-04T10:24:25.877157+00:00"
"1345289670515695616","28","0.0","2026-05-04T10:24:25.877157+00:00"
"1345290394674860032","38","0.0","2026-05-04T10:24:25.877157+00:00"
"1345291342025535489","93","0.0","2026-05-04T10:24:25.877157+00:00"
"1345302186234945536","28","0.0","2026-05-04T10:24:25.877157+00:00"
"1345302380984868864","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1345303314301415425","166","0.0","2026-05-04T10:24:25.877157+00:00"
"1345305852379623424","24","0.0","2026-05-04T10:24:25.877157+00:00"
"1345308714622996482","130","0.0","2026-05-04T10:24:25.877157+00:00"
"1345312354880393218","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1345313576555319299","1","0.0","2026-05-04T10:24:25.877157+00:00"
"1345321965381365761","13","0.0","2026-05-04T10:24:25.877157+00:00"
"1345326818325385216","213","0.0","2026-05-04T10:24:25.877157+00:00"
"1345329230331183104","3","0.0","2026-05-04T10:24:25.877157+00:00"
"1345380385648238593","170","0.0","2026-05-04T10:24:25.877157+00:00"
"1345384633089871872","67","0.0","2026-05-04T10:24:25.877157+00:00"
"1345386911242870784","13","0.0","2026-05-04T10:24:25.877157+00:00"
"1345417243186880515","107","0.0","2026-05-04T10:24:25.877157+00:00"
"1345430435703230465","38","0.0","2026-05-04T10:24:25.877157+00:00"
"1345433837531086848","20","0.0","2026-05-04T10:24:25.877157+00:00"
"1345572127857135618","13","0.0","2026-05-04T10:24:25.877157+00:00"
"1345581968742866950","38","0.0","2026-05-04T10:24:25.877157+00:00"
"1345600262313046016","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1345600576474628097","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1345602242565570561","38","0.0","2026-05-04T10:24:25.877157+00:00"
"1345604172696199168","3","0.0","2026-05-04T10:24:25.877157+00:00"
"1345616315747344385","95","0.0","2026-05-04T10:24:25.877157+00:00"
"1345620451662442496","38","0.0","2026-05-04T10:24:25.877157+00:00"
"1345628105315131398","67","0.0","2026-05-04T10:24:25.877157+00:00"
"1345632474404184064","188","0.0","2026-05-04T10:24:25.877157+00:00"
"1345654486350458882","22","0.0","2026-05-04T10:24:25.877157+00:00"
